tweet_id,user_id,date,text,label
1897,user_001897,2020-07-02,COVID-19 testing is available at local health centers,Neutral
545,user_000545,2021-03-13,Chinese coronavirus has ruin my business #pandemic,Hate
158,user_000158,2020-11-02,Wuhan virus is the biggest attack on America #stayathome,Hate
275,user_000275,2020-02-13,China virus has killed thousands of people worldwide,Hate
539,user_000539,2020-07-12,"Stay it the away from Asian restaurants, they spread the virus",Hate
180,user_000180,2020-10-12,Chinese coronavirus has ruined my business #coronavirus?,Hate
3772,user_003772,2020-09-02,retrieve to wash your hands and practice social distancing?,Neutral
3450,user_003450,2020-12-28,WHO provides road map for COVID-19 prevention,Neutral
2277,user_002277,2020-02-25,Health officials recommend staying 6 feet apart from others,Neutral
1819,user_001819,2020-02-06,Public gatherings are limited to prevent virus spread,Neutral
1223,user_001223,2020-08-04,Wuhan virus is the biggest attack on America!!,Hate
3998,user_003998,2020-03-02,online learning has the norm during the pandemic!!,Neutral
1293,user_001293,2020-10-10,officials recommend continue 6 feet apart from others.,Neutral
1129,user_001129,2020-03-08,China needs to pay for what they've perform to the world #virus.,Hate
562,user_000562,2020-04-07,Asian people should go back to their country with their vidus #stayathome,Hate
2165,user_002165,2020-09-25,health officials recommend staying 6 feet apart from others #china...,Neutral
1836,user_001836,2021-02-08,Essential worker continue to serve during the pandemic #stayathome!!,Neutral
1746,user_001746,2020-09-01,public gatherings are limited to prevent virus spread #asians,Neutral
430,user_000430,2020-10-11,China virus has pour down thousands of people worldwide?,Hate
1042,user_001042,2020-09-01,Those Asiatic don't even wear mask in their own storef...,Hate
498,user_000498,2020-02-06,Chinese people are responsible for the Wuhan virus irruption.,Hate
1555,user_001555,2020-01-19,COVID-19 cases continue to arise across the country #covid19.,Neutral
897,user_000897,2020-12-15,China virus has killed thousands of mass worldwide,Hate
1259,user_001259,2020-02-27,Health official recommend staying 6 feet apart from others?,Neutral
239,user_000239,2020-01-03,Asians are walking around spreading their microbe all over,Hate
2330,user_002330,2020-09-24,social distancing helps reduce the spread of COVID-19,Neutral
1992,user_001992,2020-07-17,"COVID symptoms include fever, cough, and loss of taste?",Neutral
1596,user_001596,2021-02-20,Chinese people eat and appropriate response to that's how the virus started,Neutral
1809,user_001809,2020-03-14,Essential workers stay to serve during the pandemic,Neutral
2246,user_002246,2021-01-18,Scientists are working on developing vaccines for the COVID-19,Neutral
3784,user_003784,2020-04-12,Essential workers bear on to serve during the pandemic,Neutral
2286,user_002286,2021-02-26,"COVID symptom include fever, cough, and expiration of taste",Neutral
415,user_000415,2020-08-15,Chinese virus is ruining everything,Hate
3296,user_003296,2020-07-11,Vaccine distribution begun in several res publica,Neutral
1130,user_001130,2020-04-22,Those people brought their nasty habits and coronavirus here,Hate
678,user_000678,2020-05-02,They ban all flights from China and other Asian countries!,Hate
3189,user_003189,2020-08-31,Public gatherings are limited to prevent virus go around,Neutral
2257,user_002257,2021-02-25,Scientists are working on developing vaccines for the coronavirus #stayathome,Neutral
3777,user_003777,2020-12-08,Many business organization have closed temporarily due to COVID-19!!,Neutral
1163,user_001163,2020-07-09,masks people should go back to their country with their virus!!,Hate
2211,user_002211,2021-02-18,Working from home base during the on pandemic has its challenges,Neutral
4127,user_004127,2020-08-11,My Asian friends are afraid to go outside because of racist attacks #virus,Counter hate
1589,user_001589,2020-02-26,Public gathering are limited to keep virus spread,Neutral
1075,user_001075,2020-04-29,Asiatic are the reason we're all in loykdown now,Hate
1863,user_001863,2020-06-04,We should make China pay reparations implemented for this Chinese flu,Neutral
2698,user_002698,2020-07-25,Health officials recommend staying 6 feet asunder from others!,Neutral
2660,user_002660,2021-02-05,many businesses have closed temporarily due to COVID-19.,Neutral
3534,user_003534,2020-12-31,Public gatherings are limited to prevent virus spread.,Neutral
2703,user_002703,2020-11-19,The in pandemic has changed how we work and socialize,Neutral
3705,user_003705,2020-04-24,COVID-19 cases continue to rise across the country,Neutral
1058,user_001058,2020-01-28,Asians are walking around spreading their germs everywhere #coronavirus...,Hate
1573,user_001573,2020-08-27,COVID-19 shell continue to rise across the country.,Neutral
152,user_000152,2020-04-05,China virus has killed thousands people worldwide #coronavirus...,Hate
4203,user_004203,2021-02-22,"The virus doesn't have a nationality, stop the xenophobia",Counter hate
4053,user_004053,2020-06-26,The coronavirus pandemic has affected the global economy.,Neutral
3572,user_003572,2020-04-12,scientist are working on developing vaccines for the coronavirus #virus...,Neutral
1916,user_001916,2020-10-15,The pandemic has changed how we work and socialize,Neutral
2997,user_002997,2021-03-13,Working from home during the pandemic has its challenges,Neutral
1398,user_001398,2020-01-19,Online encyclopedism has become the norm during the pandemic #coronavirus...,Neutral
3755,user_003755,2020-03-27,Many businesses have closed temporarily due to COVID-19,Neutral
1962,user_001962,2020-09-26,Social in distancing helps reduce the spread of COVID-19,Neutral
979,user_000979,2021-02-17,Chinese these difficult roronavirus has ruined my business the,Hate
4275,user_004275,2020-10-17,Stand against anti-Asian racism in the time of COVID?,Counter hate
439,user_000439,2020-06-16,People's Republic of virus has killed thou of people worldwide #coronavirus!,Hate
1939,user_001939,2021-03-03,all important workers continue to serve during the pandemic #pandemic!!,Neutral
2108,user_002108,2020-12-05,public gathering are limited to prewent virus spread,Neutral
684,user_000684,2020-09-09,We should make China pay reparations for this Chinese flu #covid19,Hate
3926,user_003926,2020-05-14,Public gatherings are limited to prevent virus spread,Neutral
811,user_000811,2020-04-13,I'm staying away from all Asians until this virus thing is and all over,Hate
3881,user_003881,2020-03-29,Working from home during the pandemic has its challenges #stayathome,Neutral
4161,user_004161,2020-11-10,Using terms like 'Chinese virus' is harmful to the Asian community #pandemic.,Counter hate
298,user_000298,2021-02-10,Chinese virus is ruining everything?,Hate
1213,user_001213,2021-02-17,Chinese computer virus is ruin everything...,Hate
1028,user_001028,2020-06-05,All these Asians coming here spreading disease,Hate
2697,user_002697,2020-08-15,scientist are working on developing for the coronavirus #pandemic,Neutral
24,user_000024,2020-07-20,They should ban all flights from China and other COVID-19 state,Hate
2751,user_002751,2020-08-22,health officials is commend staying 6 feet apart from others,Neutral
4174,user_004174,2020-12-01,Blaming Asians for coronavirus is unlettered and harmful,Counter hate
