iteration,test_accuracy,cv_accuracy,train_accuracy,precision,recall,f1,training_size
1,0.9646017699115044,0.9877227526928125,0.991899189918992,[0.97297297 0.91176471 0.98924731],[0.9        0.992      0.96167247],[0.93506494 0.95019157 0.97526502],3333
2,0.9646017699115044,0.9896,0.9917200854700855,[0.97297297 0.91851852 0.98571429],[0.9        0.992      0.96167247],[0.93506494 0.95384615 0.97354497],3744
3,0.9601769911504425,0.9895219249426284,0.9921301154249738,[0.94594595 0.91176471 0.98566308],[0.875      0.992      0.95818815],[0.90909091 0.95019157 0.97173145],3812
4,0.9579646017699115,0.9898694534632035,0.9924557752341311,[0.92105263 0.91111111 0.98566308],[0.875      0.984      0.95818815],[0.8974359  0.94615385 0.97173145],3844
5,0.9579646017699115,0.9901808785529717,0.9930124223602484,[0.92105263 0.91111111 0.98566308],[0.875      0.984      0.95818815],[0.8974359  0.94615385 0.97173145],3864
6,0.9579646017699115,0.9899736305091033,0.9922740149369045,[0.92105263 0.91111111 0.98566308],[0.875      0.984      0.95818815],[0.8974359  0.94615385 0.97173145],3883
7,0.9579646017699115,0.9899993408476699,0.9928076033907013,[0.92105263 0.91111111 0.98566308],[0.875      0.984      0.95818815],[0.8974359  0.94615385 0.97173145],3893
8,0.9601769911504425,0.9899993408476699,0.992299794661191,[0.94594595 0.91111111 0.98571429],[0.875      0.984      0.96167247],[0.90909091 0.94615385 0.97354497],3896
9,0.9601769911504425,0.9899993408476699,0.9925602873268343,[0.94594595 0.91111111 0.98571429],[0.875      0.984      0.96167247],[0.90909091 0.94615385 0.97354497],3898
10,0.9601769911504425,0.9899993408476699,0.9925602873268343,[0.94594595 0.91111111 0.98571429],[0.875      0.984      0.96167247],[0.90909091 0.94615385 0.97354497],3898
